country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","20-07-2026 15:00:00",22.118125,83.140608,NO2,4,10,7
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","20-07-2026 15:00:00",22.118125,83.140608,SO2,8,11,9
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","20-07-2026 15:00:00",22.118125,83.140608,OZONE,74,80,77
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","20-07-2026 15:00:00",22.368195,82.746431,PM2.5,2,26,11
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","20-07-2026 15:00:00",22.368195,82.746431,NH3,2,2,2
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","20-07-2026 15:00:00",22.348441,82.549611,PM2.5,8,22,17
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","20-07-2026 15:00:00",22.348441,82.549611,PM10,12,28,20
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","20-07-2026 15:00:00",22.348441,82.549611,OZONE,2,2,2
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","20-07-2026 15:00:00",22.12665,83.483212,NH3,2,2,2
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","20-07-2026 15:00:00",22.12665,83.483212,CO,21,31,25
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","20-07-2026 15:00:00",22.1910172,83.5197009,NH3,1,2,2
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","20-07-2026 15:00:00",22.1910172,83.5197009,SO2,4,29,14
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","20-07-2026 15:00:00",21.258815,81.578979,SO2,3,9,5
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","20-07-2026 15:00:00",21.258815,81.578979,OZONE,12,28,17
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","20-07-2026 15:00:00",21.371751,81.664929,PM2.5,NA,NA,NA
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","20-07-2026 15:00:00",21.371751,81.664929,OZONE,5,8,7
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","20-07-2026 15:00:00",21.219665,81.630094,PM2.5,2,12,6
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","20-07-2026 15:00:00",21.219665,81.630094,NO2,0,5,1
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","20-07-2026 15:00:00",21.237755,81.705301,NO2,2,8,4
India,"Andhra Pradesh",Tirupati,"Vaikuntapuram, Tirupati - APPCB","20-07-2026 15:00:00",13.615387,79.40923,SO2,NA,NA,NA
India,"Andhra Pradesh",Tirupati,"Vaikuntapuram, Tirupati - APPCB","20-07-2026 15:00:00",13.615387,79.40923,CO,21,32,26
India,"Andhra Pradesh",Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","20-07-2026 15:00:00",16.509717,80.612222,SO2,11,16,14
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","20-07-2026 15:00:00",16.554731,80.64911,PM2.5,50,75,56
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","20-07-2026 15:00:00",16.554731,80.64911,NH3,3,5,5
