country,state,city,station,last_update,latitude,longitude,CO,NH3,NO2,O3,PM10,PM25,SO2,hour,day,month,weekday,is_weekend,season,AQI,NO,NOx,Benzene,Toluene,Xylene
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-07-20 15:00:00,16.5150833,80.5181667,5.0,4.0,16.0,29.0,52.0,27.0,11.0,15,20,7,0,0,Monsoon,52.0,,,,,
India,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",2026-07-20 15:00:00,14.675886,77.593027,30.0,3.0,19.0,34.0,77.0,93.0,12.0,15,20,7,0,0,Monsoon,210.0,,,,,
India,Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2026-07-20 15:00:00,13.20488,79.097889,16.0,7.0,32.0,38.0,62.0,67.0,16.0,15,20,7,0,0,Monsoon,123.33333333333333,,,,,
India,Andhra Pradesh,Eluru,"District Court, Eluru - APPCB",2026-07-20 15:00:00,16.711754,81.092095,22.0,3.0,15.0,11.0,55.0,58.0,13.0,15,20,7,0,0,Monsoon,96.66666666666666,,,,,
India,Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",2026-07-20 15:00:00,16.316553,80.413302,30.0,7.0,34.0,29.0,53.0,53.0,14.0,15,20,7,0,0,Monsoon,88.33333333333334,,,,,
India,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2026-07-20 15:00:00,14.465052,78.824187,23.0,17.0,28.0,42.0,47.0,42.0,13.0,15,20,7,0,0,Monsoon,70.0,,,,,
India,Andhra Pradesh,Kurnool,"Sita Rama Nagar, Kurnool - APPCB",2026-07-20 15:00:00,15.83411,78.028546,9.0,5.0,27.0,16.0,31.0,25.0,10.0,15,20,7,0,0,Monsoon,41.666666666666664,,,,,
India,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",2026-07-20 15:00:00,16.186555,81.13219,15.0,4.0,22.0,31.0,57.0,56.0,14.0,15,20,7,0,0,Monsoon,93.33333333333334,,,,,
India,Andhra Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",2026-07-20 15:00:00,14.438164,79.966814,37.0,5.0,31.0,24.0,54.0,46.0,18.0,15,20,7,0,0,Monsoon,76.66666666666667,,,,,
India,Andhra Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",2026-07-20 15:00:00,13.67,79.35,20.0,3.0,53.0,11.0,120.0,28.0,5.0,15,20,7,0,0,Monsoon,113.33333333333333,,,,,
India,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2026-07-20 15:00:00,16.536107,80.594233,25.0,4.0,20.0,24.0,66.0,66.0,8.0,15,20,7,0,0,Monsoon,120.0,,,,,
India,Andhra Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",2026-07-20 15:00:00,16.486692,80.699436,33.0,7.0,34.0,40.0,62.0,70.0,15.0,15,20,7,0,0,Monsoon,133.33333333333334,,,,,
India,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2026-07-20 15:00:00,16.509717,80.612222,49.0,5.0,27.0,30.0,74.0,92.0,14.0,15,20,7,0,0,Monsoon,206.66666666666666,,,,,
India,Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2026-07-20 15:00:00,16.554731,80.64911,26.0,5.0,17.0,35.0,54.0,56.0,23.0,15,20,7,0,0,Monsoon,93.33333333333334,,,,,
India,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2026-07-20 15:00:00,17.72,83.3,13.0,3.0,73.0,35.0,107.0,51.0,11.0,15,20,7,0,0,Monsoon,104.66666666666667,,,,,
India,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",2026-07-20 15:00:00,27.103358,93.679645,4.0,1.0,8.0,6.0,11.0,9.0,10.0,15,20,7,0,0,Monsoon,15.0,,,,,
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2026-07-20 15:00:00,26.071318,91.87488,58.0,4.0,7.0,22.0,70.0,72.0,29.0,15,20,7,0,0,Monsoon,140.0,,,,,
India,Assam,Guwahati,"IITG, Guwahati - PCBA",2026-07-20 15:00:00,26.2028636,91.70046436,5.0,5.0,1.0,9.0,0.0,18.0,38.0,15,20,7,0,0,Monsoon,30.0,,,,,
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2026-07-20 15:00:00,26.10887,91.589544,37.0,4.0,21.0,35.0,47.0,59.0,11.0,15,20,7,0,0,Monsoon,98.33333333333334,,,,,
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2026-07-20 15:00:00,26.1875,91.744194,17.0,1.0,0.0,16.0,229.0,233.0,35.0,15,20,7,0,0,Monsoon,386.9230769230769,,,,,
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",2026-07-20 15:00:00,26.181742,91.78063,3.0,1.0,3.0,19.0,21.0,28.0,46.0,15,20,7,0,0,Monsoon,46.666666666666664,,,,,
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2026-07-20 15:00:00,26.349082,92.68449,17.0,4.0,1.0,9.0,43.0,50.0,11.0,15,20,7,0,0,Monsoon,83.33333333333334,,,,,
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2026-07-20 15:00:00,26.446912,91.439057,21.0,6.0,14.0,19.0,51.0,69.0,8.0,15,20,7,0,0,Monsoon,130.0,,,,,
India,Assam,Silchar,"Tarapur, Silchar - PCBA",2026-07-20 15:00:00,24.82827,92.79525,26.0,1.0,16.0,2.0,53.0,31.0,6.0,15,20,7,0,0,Monsoon,53.0,,,,,
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2026-07-20 15:00:00,26.987634,94.636574,14.0,6.0,11.0,39.0,20.0,14.0,7.0,15,20,7,0,0,Monsoon,23.333333333333332,,,,,
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",2026-07-20 15:00:00,26.146529,87.454184,12.0,4.0,14.0,39.0,32.0,39.0,21.0,15,20,7,0,0,Monsoon,65.0,,,,,
